,0
Konishi J,6.89989827012700
Dong Y,7.17285886695223
Nakamura K,11.1118766455859
Nagahama Y,0.574543484746835
Nagamine T,0.344726090848101
Critchley HD,65.4541625848456
Elliott R,75.8331855097904
Mathias CJ,45.7394264493611
Marois R,24.7911897072360
Leung HC,27.2160852044642
Toma K,9.27326211077186
Zalla T,41.1519924148648
Koechlin E,56.2707369266809
Pietrini P,19.3785749818823
Aquino P,3.19997893017988
Sirigu A,50.0973119385107
Macaluso E,14.2037119473142
Frith C,32.8977069754497
Driver J,19.5250654263760
Clark VP,20.9255223571586
Fannon S,35.9125607217210
Lai S,10.3653795617831
Benson R,12.9285218598196
Bauer L,59.8542678695350
Barnes J,14.4091886728397
Howard RJ,13.8717823173487
Senior C,4.93903577923786
Brammer M,12.3925072466801
Woodruff P,0.751655974004332
David AS,10.5540898760950
Trojano L,21.1763662113006
Grossi D,9.70349183606823
Hacker H,2.72064030994834
Zanella FE,7.40525511189352
Di Salle F,6.37640588424901
Frost JA,81.0619417345269
Hammeke TA,47.0132927298209
Bellgowan PS,13.8695246250961
Springer JA,32.0957886697042
Kaufman JN,19.2574732018225
Possing ET,89.4086344663839
Oohashi T,31.3898021300199
Nishina E,11.3003287668072
Fuwamoto Y,2.44087101363035
Kawai N,1.46452260817821
Maekawa T,0.878713564906925
Nakamura S,0.527228138944155
Szeszko PR,11.9933299340254
Bilder RM,4.60360428243254
Lencz T,3.31116137115655
Ashtari M,3.37453764586944
Goldman RS,2.30938072821196
Reiter G,1.16033489722817
Wu H,2.10350626464473
Lieberman JA,9.43166720523754
Garavan H,21.8031841898703
Ross TJ,20.3551241617694
Li SJ,10.1706725136731
Stein EA,25.5690389667673
Zahn R,75.9366254558652
Drews E,5.79481841193240
Erberich S,2.55998314414391
Krings T,10.6499062301373
Willmes K,4.95691355433429
Schwarz M,4.65152594915785
Ng VW,8.55532073362991
Eslinger PJ,5.33807850168963
Andrew CM,4.67846330789789
Suckling J,4.07906505252100
Benton AL,16.2436990610528
de Zubicaray GI,18.9865333921698
Andrew C,11.9330287661129
Zelaya FO,9.38544960777299
Dumanoir C,29.4066620402498
Seger CA,19.8756714729109
Poldrack RA,31.5511712680038
Prabhakaran V,7.74487263110812
Zhao M,3.85170515574651
Gabrieli JD,30.1344190707794
Lazar RM,32.7298413916735
Marshall RS,11.7827429010025
Pile-Spellman J,7.06964574060147
Duong HC,4.24178744436089
Mohr JP,2.54507246661653
Young WL,1.52704347996992
Solomon RL,0.916226087981951
Perera GM,0.549735652789171
DeLaPaz RL,19.6379048350041
Moore CI,55.1436698359188
Stern CE,17.4271902866320
Corkin S,15.2310265463609
Fischl B,11.0722434296148
Gray AC,4.28797176644104
Laureys S,19.3874283471473
Faymonville ME,16.3324442925144
Degueldre C,2.99105515654976
Fiore GD,11.6792539161734
Damas P,7.00755234970406
Lambermont B,2.61042051007044
Janssens N,2.52271884589346
Aerts J,1.51363130753608
Franck G,0.908178784521646
Luxen A,0.954307308198697
Moonen G,1.17825324992273
Lamy M,5.08417269422846
Maquet P,11.3336619447330
Wojciulik E,29.1521213748657
Clarke K,17.4912728249194
Husain M,12.0167502944854
Paradis AL,11.5013043577448
Cornilleau-Peres V,7.59475764455924
Droulez J,4.76861929261790
Van De Moortele PF,5.32528432761206
Le Bihan D,26.8968339458311
Poline JB,10.3801758943200
Loose R,28.4177654406662
Kimberg DY,38.1853433042737
Mitchell KJ,43.1582777341003
Johnson MK,47.7779034769733
Raye CL,20.3443722038927
Giraud AL,38.5145616065914
Lorenzi C,39.8515894545550
Ashburner J,10.2057527963920
Wable J,14.3465722036398
Johnsrude I,56.3455342605787
Frackowiak R,12.1411432586187
